method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Simple OR,sensor_bias,60,60,0,30,0.5,0.5,30,0,,1.0,0.5,4700.0,5600.0,0,0.0,0,0,0.0,0.0,,0.0,30,1.0,0,0,0,60,0.5,60,0.5,60,0.5,0,0,30,1.0,1.0,0.0,0.0,0,0,0.3773502424155577,0.6226497575844423
Simple OR,sensor_bias_ramp,120,120,0,60,0.5,0.5,60,0,,1.0,0.5,5450.0,7209.999999999999,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,120,0.5,120,0.5,120,0.5,0,0,60,1.0,1.0,0.0,0.0,0,0,0.41193870541108385,0.5880612945889161
Simple OR,sensor_interface_intermittent,60,60,0,45,0.75,0.75,14,0,,1.0,0.75,200.0,7300.0,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,60,0.75,60,0.75,58,0.7586206896551724,21,0,23,1.0,1.0,0.0,0.0,0,0,0.6276792992295218,0.8422347746994333
Simple OR,stuck_bit,180,180,0,125,0.6944444444444444,0.6944444444444444,10,0,,1.0,0.6944444444444444,0.0,6980.0,0,0.0,0,0,0.0,0.0,,0.0,125,1.0,0,0,0,124,0.9193548387096774,122,0.9180327868852459,122,0.9180327868852459,103,0,9,1.0,1.0,0.0,0.0,0,0,0.6236704711467251,0.7570923907726474
Simple OR,task_delay,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,120,1.0,0,0,0,120,1.0,120,1.0,115,1.0,112,3,0,1.0,1.0,0.0,0.0,0,0,0.9689808335812966,1
Plain DS,ALL,1500,1200,300,886,0.7383333333333333,0.7383333333333334,214,150,0.5,0.8552123552123552,0.7383333333333333,100.0,6700.0,856,0.9661399548532731,651,205,0.7347629796839729,0.6834518981450701,0.7605140186915887,0.23137697516930023,30,0.033860045146726865,483,0,0,1144,0.7648601398601399,1142,0.7644483362521891,973,0.7800616649537513,521,7,231,0.40205715127981,0.40205715127981,0.019341773619632695,0.019341773619632695,185,185,0.7127319007912845,0.7624137222547451
Plain DS,MEMORY,240,240,0,164,0.6833333333333333,0.6833333333333333,31,0,,1.0,0.6833333333333333,0.0,6884.999999999999,164,1.0,164,0,1.0,1.0,1.0,0.0,0,0.0,121,0,0,184,0.8315217391304348,182,0.8296703296703297,182,0.8296703296703297,121,0,30,0.4090932873663375,0.4090932873663375,0.0063606140076540715,0.0063606140076540715,2,2,0.621987309049706,0.7389029203050558
Plain DS,TIMING,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,240,1.0,240,0,1.0,1.0,1.0,0.0,0,0.0,191,0,0,240,1.0,240,1.0,194,1.0,191,3,0,0.3454035880811958,0.3454035880811958,0.03534533770597892,0.03534533770597892,80,80,0.9842460800584412,1
Plain DS,COMMUNICATION,240,240,0,178,0.7416666666666667,0.7416666666666667,8,0,,1.0,0.7416666666666667,200.0,5600.0,178,1.0,148,30,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.16853932584269662,0,0.0,94,0,0,240,0.7416666666666667,240,0.7416666666666667,119,0.9327731092436975,111,0,0,0.41079570423069584,0.41079570423069584,0.01921009749440577,0.01921009749440577,50,50,0.6827876793698161,0.7929312593250971
Plain DS,SENSOR_CONTROL,240,240,0,135,0.5625,0.5625,104,0,,1.0,0.5625,4600.0,7230.0,105,0.7777777777777778,0,105,0.0,0.0,0.0,0.7777777777777778,30,0.2222222222222222,0,0,0,240,0.5625,240,0.5625,238,0.5630252100840336,21,0,113,0.4169086528510083,0.4169086528510083,0.00882766891082592,0.00882766891082592,7,7,0.49924250699978995,0.6237882530075151
